station_id,zone,lat,lng,type,chargers_count,avg_daily_sessions,avg_utilization_pct,charger_type
KOR-001,Koramangala,12.933096,77.624816,public,4,38,79.2,DC-50kW
KOR-002,Koramangala,12.929421,77.618119,private,2,22,91.7,AC-22kW
KOR-003,Koramangala,12.940417,77.629829,public,6,51,70.8,DC-50kW
KOR-004,Koramangala,12.931633,77.618605,private,2,18,75.0,AC-22kW
KOR-005,Koramangala,12.924491,77.631076,public,4,40,83.3,DC-50kW
KOR-006,Koramangala,12.942888,77.628771,private,2,15,62.5,AC-22kW
KOR-007,Koramangala,12.930814,77.633239,public,8,65,67.7,DC-50kW
KOR-008,Koramangala,12.937055,77.615559,public,4,32,66.7,DC-50kW
HSR-001,HSR Layout,12.906872,77.649458,public,4,35,72.9,DC-50kW
HSR-002,HSR Layout,12.91312,77.638944,private,2,20,83.3,AC-22kW
HSR-003,HSR Layout,12.917272,77.649551,public,6,44,61.1,DC-50kW
HSR-004,HSR Layout,12.902989,77.645452,private,2,17,70.8,AC-22kW
HSR-005,HSR Layout,12.919168,77.634185,public,4,38,79.2,DC-50kW
HSR-006,HSR Layout,12.911927,77.652948,public,4,29,60.4,DC-50kW
WF-001,Whitefield,12.97146,77.748293,public,6,55,76.4,DC-50kW
WF-002,Whitefield,12.976873,77.753079,private,4,42,87.5,AC-22kW
WF-003,Whitefield,12.961849,77.744332,public,8,70,72.9,DC-50kW
WF-004,Whitefield,12.978716,77.763465,private,2,25,100.0,AC-22kW
WF-005,Whitefield,12.969812,77.73879,public,4,48,100.0,DC-50kW
WF-006,Whitefield,12.956672,77.748925,public,6,58,80.6,DC-50kW
WF-007,Whitefield,12.986001,77.747437,private,2,19,79.2,AC-22kW
WF-008,Whitefield,12.963312,77.765673,public,4,36,75.0,DC-50kW
EC-001,Electronic City,12.838829,77.679377,public,6,50,69.4,DC-50kW
EC-002,Electronic City,12.847471,77.68151,private,4,38,79.2,AC-22kW
EC-003,Electronic City,12.832482,77.670317,public,4,42,87.5,DC-50kW
EC-004,Electronic City,12.850821,77.672327,public,8,65,67.7,DC-50kW
EC-005,Electronic City,12.825406,77.682503,private,2,22,91.7,AC-22kW
EC-006,Electronic City,12.841591,77.669929,public,4,33,68.8,DC-50kW
HB-001,Hebbal,13.033277,77.595831,public,4,28,58.3,DC-50kW
HB-002,Hebbal,13.040446,77.590677,private,2,16,66.7,AC-22kW
HB-003,Hebbal,13.028312,77.598766,public,4,31,64.6,DC-50kW
HB-004,Hebbal,13.042091,77.603183,public,6,44,61.1,DC-50kW
HB-005,Hebbal,13.029635,77.589739,private,2,14,58.3,AC-22kW
HB-006,Hebbal,13.03951,77.610358,public,4,27,56.2,DC-50kW
IND-001,Indiranagar,12.981163,77.640256,public,4,36,75.0,DC-50kW
IND-002,Indiranagar,12.979627,77.638911,private,2,21,87.5,AC-22kW
IND-003,Indiranagar,12.975499,77.647999,public,6,50,69.4,DC-50kW
IND-004,Indiranagar,12.985037,77.645245,public,4,40,83.3,DC-50kW
IND-005,Indiranagar,12.97316,77.6419,private,2,18,75.0,AC-22kW
IND-006,Indiranagar,12.982905,77.652951,public,4,32,66.7,DC-50kW
