zone,year,month,month_name,ev_count,monthly_growth_rate_pct,annual_growth_rate_pct
Koramangala,2023,1,Jan,800,2.47,34.0
Koramangala,2023,2,Feb,819,2.47,34.0
Koramangala,2023,3,Mar,839,2.47,34.0
Koramangala,2023,4,Apr,859,2.47,34.0
Koramangala,2023,5,May,880,2.47,34.0
Koramangala,2023,6,Jun,901,2.47,34.0
Koramangala,2023,7,Jul,923,2.47,34.0
Koramangala,2023,8,Aug,945,2.47,34.0
Koramangala,2023,9,Sep,968,2.47,34.0
Koramangala,2023,10,Oct,1011,2.47,34.0
Koramangala,2023,11,Nov,1056,2.47,34.0
Koramangala,2023,12,Dec,1082,2.47,34.0
Koramangala,2024,1,Jan,1108,2.47,34.0
Koramangala,2024,2,Feb,1135,2.47,34.0
Koramangala,2024,3,Mar,1163,2.47,34.0
Koramangala,2024,4,Apr,1191,2.47,34.0
Koramangala,2024,5,May,1220,2.47,34.0
Koramangala,2024,6,Jun,1250,2.47,34.0
Koramangala,2024,7,Jul,1280,2.47,34.0
Koramangala,2024,8,Aug,1311,2.47,34.0
Koramangala,2024,9,Sep,1343,2.47,34.0
Koramangala,2024,10,Oct,1403,2.47,34.0
Koramangala,2024,11,Nov,1466,2.47,34.0
Koramangala,2024,12,Dec,1502,2.47,34.0
Koramangala,2025,1,Jan,1539,2.47,34.0
Koramangala,2025,2,Feb,1576,2.47,34.0
Koramangala,2025,3,Mar,1614,2.47,34.0
Koramangala,2025,4,Apr,1653,2.47,34.0
Koramangala,2025,5,May,1693,2.47,34.0
Koramangala,2025,6,Jun,1734,2.47,34.0
Koramangala,2025,7,Jul,1776,2.47,34.0
Koramangala,2025,8,Aug,1819,2.47,34.0
Koramangala,2025,9,Sep,1863,2.47,34.0
Koramangala,2025,10,Oct,1947,2.47,34.0
Koramangala,2025,11,Nov,2034,2.47,34.0
Koramangala,2025,12,Dec,2084,2.47,34.0
Koramangala,2026,1,Jan,2135,2.47,34.0
Koramangala,2026,2,Feb,2187,2.47,34.0
Koramangala,2026,3,Mar,2240,2.47,34.0
Koramangala,2026,4,Apr,2295,2.47,34.0
Koramangala,2026,5,May,2351,2.47,34.0
Koramangala,2026,6,Jun,2409,2.47,34.0
Koramangala,2026,7,Jul,2468,2.47,34.0
Koramangala,2026,8,Aug,2528,2.47,34.0
Koramangala,2026,9,Sep,2590,2.47,34.0
Koramangala,2026,10,Oct,2707,2.47,34.0
Koramangala,2026,11,Nov,2829,2.47,34.0
Koramangala,2026,12,Dec,2898,2.47,34.0
HSR Layout,2023,1,Jan,550,2.21,30.0
HSR Layout,2023,2,Feb,562,2.21,30.0
HSR Layout,2023,3,Mar,574,2.21,30.0
HSR Layout,2023,4,Apr,586,2.21,30.0
HSR Layout,2023,5,May,598,2.21,30.0
HSR Layout,2023,6,Jun,611,2.21,30.0
HSR Layout,2023,7,Jul,624,2.21,30.0
HSR Layout,2023,8,Aug,637,2.21,30.0
HSR Layout,2023,9,Sep,651,2.21,30.0
HSR Layout,2023,10,Oct,678,2.21,30.0
HSR Layout,2023,11,Nov,706,2.21,30.0
HSR Layout,2023,12,Dec,721,2.21,30.0
HSR Layout,2024,1,Jan,736,2.21,30.0
HSR Layout,2024,2,Feb,752,2.21,30.0
HSR Layout,2024,3,Mar,768,2.21,30.0
HSR Layout,2024,4,Apr,784,2.21,30.0
HSR Layout,2024,5,May,801,2.21,30.0
HSR Layout,2024,6,Jun,818,2.21,30.0
HSR Layout,2024,7,Jul,836,2.21,30.0
