zone,forecast_datetime,hour_of_day,day_label,predicted_load_kw,lower_bound_kw,upper_bound_kw,is_peak_risk,recommendation
Electronic City,2026-01-01 00:00,0,Thursday,641.7,609.6,673.8,0,✅ Safe to charge
Electronic City,2026-01-01 01:00,1,Thursday,632.7,601.0,664.3,0,✅ Safe to charge
Electronic City,2026-01-01 02:00,2,Thursday,611.9,581.3,642.5,0,✅ Safe to charge
Electronic City,2026-01-01 03:00,3,Thursday,269.4,256.0,282.9,0,✅ Safe to charge
Electronic City,2026-01-01 04:00,4,Thursday,292.1,277.5,306.7,0,✅ Safe to charge
Electronic City,2026-01-01 05:00,5,Thursday,410.6,390.1,431.2,0,✅ Safe to charge
Electronic City,2026-01-01 06:00,6,Thursday,771.6,733.0,810.2,0,🔵 Moderate — monitor load
Electronic City,2026-01-01 07:00,7,Thursday,800.7,760.7,840.8,1,⚠️ Delay charging — grid stress expected
Electronic City,2026-01-01 08:00,8,Thursday,847.2,804.9,889.6,1,⚠️ Delay charging — grid stress expected
Electronic City,2026-01-01 09:00,9,Thursday,882.0,837.9,926.1,1,⚠️ Delay charging — grid stress expected
Electronic City,2026-01-01 10:00,10,Thursday,661.7,628.6,694.8,0,🔵 Moderate — monitor load
Electronic City,2026-01-01 11:00,11,Thursday,649.6,617.1,682.0,0,🔵 Moderate — monitor load
Electronic City,2026-01-01 12:00,12,Thursday,649.2,616.7,681.7,0,🔵 Moderate — monitor load
Electronic City,2026-01-01 13:00,13,Thursday,629.6,598.1,661.1,0,🔵 Moderate — monitor load
Electronic City,2026-01-01 14:00,14,Thursday,596.1,566.3,625.9,0,🔵 Moderate — monitor load
Electronic City,2026-01-01 15:00,15,Thursday,572.0,543.4,600.6,0,🔵 Moderate — monitor load
Electronic City,2026-01-01 16:00,16,Thursday,584.8,555.5,614.0,0,🔵 Moderate — monitor load
Electronic City,2026-01-01 17:00,17,Thursday,626.5,595.2,657.9,0,🔵 Moderate — monitor load
Electronic City,2026-01-01 18:00,18,Thursday,1680.9,1596.9,1765.0,1,⚠️ Delay charging — grid stress expected
Electronic City,2026-01-01 19:00,19,Thursday,2026.8,1925.5,2128.1,1,⚠️ Delay charging — grid stress expected
Electronic City,2026-01-01 20:00,20,Thursday,2100.2,1995.2,2205.2,1,⚠️ Delay charging — grid stress expected
