zone,hour,time_label,ev_load_baseline_kw,ev_load_optimised_kw,grid_load_baseline_kw,grid_load_optimised_kw,utilization_baseline_pct,utilization_optimised_pct,action,load_shift_kw
Electronic City,0,00:00,114.4,320.9,753.5,960.0,62.8,80.0,CHARGE NOW,-206.5
Electronic City,1,01:00,127.0,332.5,754.5,960.0,62.9,80.0,CHARGE NOW,-205.5
Electronic City,2,02:00,29.2,346.8,642.4,960.0,53.5,80.0,CHARGE NOW,-317.6
Electronic City,3,03:00,30.7,690.8,299.9,960.0,25.0,80.0,CHARGE NOW,-660.1
Electronic City,4,04:00,28.6,668.1,320.5,960.0,26.7,80.0,CHARGE NOW,-639.5
Electronic City,5,05:00,28.7,553.0,435.7,960.0,36.3,80.0,CHARGE NOW,-524.3
Electronic City,6,06:00,179.3,194.4,944.9,960.0,78.7,80.0,SHIFT HERE,-15.1
Electronic City,7,07:00,179.9,153.7,986.2,960.0,82.2,80.0,SHIFT HERE,26.2
Electronic City,8,08:00,171.8,117.2,1014.6,960.0,84.6,80.0,SHIFT HERE,54.6
Electronic City,9,09:00,152.3,82.5,1029.9,960.0,85.8,80.0,SHIFT HERE,69.9
Electronic City,10,10:00,28.6,0.0,688.0,659.4,57.3,55.0,MONITOR,28.6
Electronic City,11,11:00,29.8,0.0,678.6,648.8,56.5,54.1,MONITOR,29.8
Electronic City,12,12:00,28.8,0.0,677.4,648.6,56.5,54.0,MONITOR,28.8
Electronic City,13,13:00,29.5,264.5,658.8,893.8,54.9,74.5,SHIFT HERE,-235.0
Electronic City,14,14:00,29.2,368.2,621.0,960.0,51.7,80.0,SHIFT HERE,-339.0
Electronic City,15,15:00,26.7,389.4,597.4,960.0,49.8,80.0,SHIFT HERE,-362.6
Electronic City,16,16:00,30.1,376.0,614.1,960.0,51.2,80.0,SHIFT HERE,-345.9
Electronic City,17,17:00,28.0,336.5,651.4,960.0,54.3,80.0,SHIFT HERE,-308.6
Electronic City,18,18:00,786.2,0.0,2443.0,1656.8,203.6,138.1,DELAY,786.2
Electronic City,19,19:00,830.2,0.0,2821.2,1991.0,235.1,165.9,DELAY,830.2
Electronic City,20,20:00,776.9,0.0,2917.1,2140.2,243.1,178.4,DELAY,776.9
Electronic City,21,21:00,817.0,0.0,2692.7,1875.7,224.4,156.3,DELAY,817.0
Electronic City,22,22:00,771.9,0.0,2266.9,1495.0,188.9,124.6,DELAY,771.9
Electronic City,23,23:00,114.1,174.4,899.7,960.0,75.0,80.0,CHARGE NOW,-60.3
HSR Layout,0,00:00,108.6,0.0,729.0,620.4,112.1,95.4,CHARGE NOW,108.6
HSR Layout,1,01:00,97.9,0.0,715.6,617.6,110.1,95.0,CHARGE NOW,97.9
HSR Layout,2,02:00,25.4,0.0,629.6,604.2,96.9,93.0,CHARGE NOW,25.4
HSR Layout,3,03:00,25.6,331.4,214.1,520.0,32.9,80.0,CHARGE NOW,-305.9
HSR Layout,4,04:00,26.2,321.0,225.3,520.0,34.7,80.0,CHARGE NOW,-294.7
