zone,date,day_of_week,is_weekend,hour,base_load_kw,ev_load_kw,total_load_kw,ev_count_on_day,transformer_utilization_pct
Koramangala,2025-01-01,Wednesday,False,0,142.6,686.4,829.1,800,92.1
Koramangala,2025-01-01,Wednesday,False,1,144.4,743.8,888.2,800,98.7
Koramangala,2025-01-01,Wednesday,False,2,134.1,683.1,817.2,800,90.8
Koramangala,2025-01-01,Wednesday,False,3,155.3,179.4,334.8,800,37.2
Koramangala,2025-01-01,Wednesday,False,4,131.3,177.5,308.8,800,34.3
Koramangala,2025-01-01,Wednesday,False,5,209.6,168.8,378.3,800,42.0
Koramangala,2025-01-01,Wednesday,False,6,249.1,520.9,770.0,800,85.6
Koramangala,2025-01-01,Wednesday,False,7,257.3,559.8,817.1,800,90.8
Koramangala,2025-01-01,Wednesday,False,8,320.4,585.1,905.4,800,100.0
Koramangala,2025-01-01,Wednesday,False,9,337.3,535.3,872.6,800,97.0
Koramangala,2025-01-01,Wednesday,False,10,380.7,170.8,551.6,800,61.3
Koramangala,2025-01-01,Wednesday,False,11,352.6,160.5,513.1,800,57.0
Koramangala,2025-01-01,Wednesday,False,12,345.4,173.8,519.2,800,57.7
Koramangala,2025-01-01,Wednesday,False,13,338.3,176.0,514.4,800,57.2
Koramangala,2025-01-01,Wednesday,False,14,305.7,170.3,476.0,800,52.9
Koramangala,2025-01-01,Wednesday,False,15,305.7,188.8,494.5,800,54.9
Koramangala,2025-01-01,Wednesday,False,16,312.6,163.7,476.2,800,52.9
Koramangala,2025-01-01,Wednesday,False,17,369.3,162.3,531.5,800,59.1
Koramangala,2025-01-01,Wednesday,False,18,369.9,1506.7,1876.6,800,100.0
Koramangala,2025-01-01,Wednesday,False,19,359.7,2152.2,2511.9,800,100.0
Koramangala,2025-01-01,Wednesday,False,20,352.7,2614.2,2966.9,800,100.0
Koramangala,2025-01-01,Wednesday,False,21,342.6,2099.1,2441.8,800,100.0
Koramangala,2025-01-01,Wednesday,False,22,217.2,1610.3,1827.5,800,100.0
Koramangala,2025-01-01,Wednesday,False,23,229.1,727.7,956.9,800,100.0
HSR Layout,2025-01-01,Wednesday,False,0,104.0,433.3,537.3,550,82.7
HSR Layout,2025-01-01,Wednesday,False,1,103.8,466.1,569.8,550,87.7
HSR Layout,2025-01-01,Wednesday,False,2,95.1,489.7,584.9,550,90.0
HSR Layout,2025-01-01,Wednesday,False,3,109.9,124.3,234.2,550,36.0
HSR Layout,2025-01-01,Wednesday,False,4,93.7,117.0,210.7,550,32.4
HSR Layout,2025-01-01,Wednesday,False,5,161.6,124.6,286.1,550,44.0
HSR Layout,2025-01-01,Wednesday,False,6,177.6,392.3,569.9,550,87.7
HSR Layout,2025-01-01,Wednesday,False,7,195.3,372.3,567.6,550,87.3
HSR Layout,2025-01-01,Wednesday,False,8,252.3,422.9,675.1,550,100.0
HSR Layout,2025-01-01,Wednesday,False,9,256.2,415.9,672.0,550,100.0
HSR Layout,2025-01-01,Wednesday,False,10,271.5,115.0,386.4,550,59.4
HSR Layout,2025-01-01,Wednesday,False,11,262.8,127.9,390.7,550,60.1
HSR Layout,2025-01-01,Wednesday,False,12,259.4,128.1,387.5,550,59.6
HSR Layout,2025-01-01,Wednesday,False,13,237.0,123.7,360.7,550,55.5
HSR Layout,2025-01-01,Wednesday,False,14,231.6,117.0,348.6,550,53.6
HSR Layout,2025-01-01,Wednesday,False,15,231.6,107.0,338.6,550,52.1
HSR Layout,2025-01-01,Wednesday,False,16,228.9,120.9,349.8,550,53.8
HSR Layout,2025-01-01,Wednesday,False,17,278.2,115.7,394.0,550,60.6
HSR Layout,2025-01-01,Wednesday,False,18,264.2,1119.6,1383.8,550,100.0
HSR Layout,2025-01-01,Wednesday,False,19,284.9,1489.3,1774.2,550,100.0
HSR Layout,2025-01-01,Wednesday,False,20,249.3,1827.7,2077.0,550,100.0
HSR Layout,2025-01-01,Wednesday,False,21,254.7,1536.2,1790.9,550,100.0
HSR Layout,2025-01-01,Wednesday,False,22,167.0,1129.6,1296.6,550,100.0
HSR Layout,2025-01-01,Wednesday,False,23,169.7,440.4,610.1,550,93.9
Whitefield,2025-01-01,Wednesday,False,0,193.7,612.7,806.4,700,73.3
Whitefield,2025-01-01,Wednesday,False,1,189.0,597.7,786.7,700,71.5
Whitefield,2025-01-01,Wednesday,False,2,166.0,592.1,758.1,700,68.9
Whitefield,2025-01-01,Wednesday,False,3,183.4,145.1,328.5,700,29.9
Whitefield,2025-01-01,Wednesday,False,4,186.3,154.3,340.6,700,31.0
Whitefield,2025-01-01,Wednesday,False,5,327.4,152.5,480.0,700,43.6
Whitefield,2025-01-01,Wednesday,False,6,344.3,502.1,846.4,700,76.9
Whitefield,2025-01-01,Wednesday,False,7,352.2,503.3,855.5,700,77.8
Whitefield,2025-01-01,Wednesday,False,8,459.8,566.1,1025.9,700,93.3
Whitefield,2025-01-01,Wednesday,False,9,477.3,511.6,988.9,700,89.9
Whitefield,2025-01-01,Wednesday,False,10,501.5,142.4,643.8,700,58.5
Whitefield,2025-01-01,Wednesday,False,11,504.3,156.9,661.2,700,60.1
Whitefield,2025-01-01,Wednesday,False,12,498.6,144.3,643.0,700,58.5
Whitefield,2025-01-01,Wednesday,False,13,508.6,140.6,649.2,700,59.0
Whitefield,2025-01-01,Wednesday,False,14,441.4,167.8,609.1,700,55.4
Whitefield,2025-01-01,Wednesday,False,15,415.8,146.9,562.7,700,51.2
Whitefield,2025-01-01,Wednesday,False,16,433.5,147.4,580.9,700,52.8
Whitefield,2025-01-01,Wednesday,False,17,471.5,151.7,623.2,700,56.7
Whitefield,2025-01-01,Wednesday,False,18,490.2,1496.2,1986.4,700,100.0
Whitefield,2025-01-01,Wednesday,False,19,503.3,2009.3,2512.7,700,100.0
Whitefield,2025-01-01,Wednesday,False,20,462.4,2231.5,2693.8,700,100.0
Whitefield,2025-01-01,Wednesday,False,21,488.2,1750.0,2238.2,700,100.0
Whitefield,2025-01-01,Wednesday,False,22,327.6,1557.1,1884.7,700,100.0
Whitefield,2025-01-01,Wednesday,False,23,297.9,610.4,908.2,700,82.6
Electronic City,2025-01-01,Wednesday,False,0,206.5,404.0,610.5,450,50.9
Electronic City,2025-01-01,Wednesday,False,1,180.6,363.1,543.7,450,45.3
Electronic City,2025-01-01,Wednesday,False,2,211.0,394.6,605.6,450,50.5
Electronic City,2025-01-01,Wednesday,False,3,206.3,98.9,305.2,450,25.4
Electronic City,2025-01-01,Wednesday,False,4,190.2,98.3,288.5,450,24.0
Electronic City,2025-01-01,Wednesday,False,5,322.4,93.7,416.2,450,34.7
Electronic City,2025-01-01,Wednesday,False,6,395.8,331.7,727.5,450,60.6
Electronic City,2025-01-01,Wednesday,False,7,389.1,334.6,723.7,450,60.3
Electronic City,2025-01-01,Wednesday,False,8,473.6,336.8,810.4,450,67.5
Electronic City,2025-01-01,Wednesday,False,9,533.6,310.7,844.3,450,70.4
Electronic City,2025-01-01,Wednesday,False,10,553.3,99.2,652.5,450,54.4
Electronic City,2025-01-01,Wednesday,False,11,533.6,106.4,640.0,450,53.3
Electronic City,2025-01-01,Wednesday,False,12,515.1,93.5,608.6,450,50.7
Electronic City,2025-01-01,Wednesday,False,13,503.9,93.2,597.2,450,49.8
Electronic City,2025-01-01,Wednesday,False,14,460.3,98.9,559.2,450,46.6
Electronic City,2025-01-01,Wednesday,False,15,466.4,101.2,567.6,450,47.3
Electronic City,2025-01-01,Wednesday,False,16,461.9,104.3,566.1,450,47.2
Electronic City,2025-01-01,Wednesday,False,17,526.3,110.4,636.7,450,53.1
Electronic City,2025-01-01,Wednesday,False,18,553.3,899.3,1452.6,450,100.0
Electronic City,2025-01-01,Wednesday,False,19,535.4,1227.7,1763.1,450,100.0
Electronic City,2025-01-01,Wednesday,False,20,503.9,1510.1,2014.0,450,100.0
Electronic City,2025-01-01,Wednesday,False,21,516.0,1194.4,1710.4,450,100.0
Electronic City,2025-01-01,Wednesday,False,22,331.6,868.4,1200.0,450,100.0
Electronic City,2025-01-01,Wednesday,False,23,338.5,405.4,743.9,450,62.0
Hebbal,2025-01-01,Wednesday,False,0,92.9,307.9,400.8,380,66.8
Hebbal,2025-01-01,Wednesday,False,1,92.6,334.6,427.2,380,71.2
Hebbal,2025-01-01,Wednesday,False,2,84.3,330.8,415.1,380,69.2
Hebbal,2025-01-01,Wednesday,False,3,91.7,77.4,169.1,380,28.2
Hebbal,2025-01-01,Wednesday,False,4,94.0,84.4,178.4,380,29.7
Hebbal,2025-01-01,Wednesday,False,5,151.8,86.4,238.2,380,39.7
Hebbal,2025-01-01,Wednesday,False,6,153.4,260.8,414.2,380,69.0
Hebbal,2025-01-01,Wednesday,False,7,189.1,280.6,469.7,380,78.3
Hebbal,2025-01-01,Wednesday,False,8,225.5,326.3,551.8,380,92.0
Hebbal,2025-01-01,Wednesday,False,9,236.4,289.1,525.5,380,87.6
Hebbal,2025-01-01,Wednesday,False,10,249.8,84.8,334.6,380,55.8
Hebbal,2025-01-01,Wednesday,False,11,232.1,85.2,317.3,380,52.9
Hebbal,2025-01-01,Wednesday,False,12,228.5,81.1,309.6,380,51.6
Hebbal,2025-01-01,Wednesday,False,13,230.7,82.4,313.2,380,52.2
Hebbal,2025-01-01,Wednesday,False,14,226.6,74.4,301.0,380,50.2
Hebbal,2025-01-01,Wednesday,False,15,213.8,75.5,289.3,380,48.2
Hebbal,2025-01-01,Wednesday,False,16,204.8,86.5,291.3,380,48.6
Hebbal,2025-01-01,Wednesday,False,17,240.3,77.7,317.9,380,53.0
Hebbal,2025-01-01,Wednesday,False,18,239.4,820.4,1059.8,380,100.0
Hebbal,2025-01-01,Wednesday,False,19,244.5,1023.3,1267.7,380,100.0
Hebbal,2025-01-01,Wednesday,False,20,229.7,1191.1,1420.8,380,100.0
Hebbal,2025-01-01,Wednesday,False,21,246.1,1044.4,1290.5,380,100.0
Hebbal,2025-01-01,Wednesday,False,22,140.5,800.8,941.4,380,100.0
Hebbal,2025-01-01,Wednesday,False,23,151.2,342.3,493.5,380,82.3
Indiranagar,2025-01-01,Wednesday,False,0,109.3,532.6,641.9,620,85.6
Indiranagar,2025-01-01,Wednesday,False,1,122.3,558.9,681.2,620,90.8
Indiranagar,2025-01-01,Wednesday,False,2,105.2,526.7,631.9,620,84.3
Indiranagar,2025-01-01,Wednesday,False,3,112.5,129.5,242.0,620,32.3
Indiranagar,2025-01-01,Wednesday,False,4,135.0,136.6,271.6,620,36.2
Indiranagar,2025-01-01,Wednesday,False,5,171.6,140.1,311.7,620,41.6
Indiranagar,2025-01-01,Wednesday,False,6,232.4,469.4,701.9,620,93.6
Indiranagar,2025-01-01,Wednesday,False,7,222.6,435.6,658.2,620,87.8
Indiranagar,2025-01-01,Wednesday,False,8,297.5,430.6,728.1,620,97.1
Indiranagar,2025-01-01,Wednesday,False,9,302.7,463.7,766.4,620,100.0
Indiranagar,2025-01-01,Wednesday,False,10,302.3,133.5,435.8,620,58.1
Indiranagar,2025-01-01,Wednesday,False,11,269.0,127.1,396.0,620,52.8
Indiranagar,2025-01-01,Wednesday,False,12,299.0,125.6,424.6,620,56.6
Indiranagar,2025-01-01,Wednesday,False,13,318.0,124.3,442.3,620,59.0
Indiranagar,2025-01-01,Wednesday,False,14,263.6,134.8,398.4,620,53.1
Indiranagar,2025-01-01,Wednesday,False,15,282.5,124.3,406.8,620,54.2
Indiranagar,2025-01-01,Wednesday,False,16,279.7,134.0,413.7,620,55.2
Indiranagar,2025-01-01,Wednesday,False,17,298.4,137.0,435.4,620,58.1
Indiranagar,2025-01-01,Wednesday,False,18,317.0,1255.7,1572.7,620,100.0
Indiranagar,2025-01-01,Wednesday,False,19,322.4,1619.9,1942.2,620,100.0
Indiranagar,2025-01-01,Wednesday,False,20,296.0,2075.3,2371.3,620,100.0
Indiranagar,2025-01-01,Wednesday,False,21,310.8,1549.5,1860.2,620,100.0
Indiranagar,2025-01-01,Wednesday,False,22,222.5,1168.2,1390.7,620,100.0
Indiranagar,2025-01-01,Wednesday,False,23,199.5,551.4,750.9,620,100.0
Koramangala,2025-01-02,Thursday,False,0,140.1,669.7,809.8,800,90.0
Koramangala,2025-01-02,Thursday,False,1,134.4,674.2,808.5,800,89.8
Koramangala,2025-01-02,Thursday,False,2,129.9,720.6,850.5,800,94.5
Koramangala,2025-01-02,Thursday,False,3,141.0,166.8,307.8,800,34.2
Koramangala,2025-01-02,Thursday,False,4,147.4,175.5,322.8,800,35.9
Koramangala,2025-01-02,Thursday,False,5,224.5,178.2,402.8,800,44.8
Koramangala,2025-01-02,Thursday,False,6,236.5,559.9,796.4,800,88.5
Koramangala,2025-01-02,Thursday,False,7,286.3,593.6,879.9,800,97.8
Koramangala,2025-01-02,Thursday,False,8,332.0,579.4,911.4,800,100.0
Koramangala,2025-01-02,Thursday,False,9,362.9,559.0,921.8,800,100.0
Koramangala,2025-01-02,Thursday,False,10,370.0,171.1,541.0,800,60.1
Koramangala,2025-01-02,Thursday,False,11,349.3,182.3,531.6,800,59.1
Koramangala,2025-01-02,Thursday,False,12,361.5,179.8,541.3,800,60.1
Koramangala,2025-01-02,Thursday,False,13,367.1,173.0,540.1,800,60.0
Koramangala,2025-01-02,Thursday,False,14,320.7,170.1,490.8,800,54.5
Koramangala,2025-01-02,Thursday,False,15,316.5,171.7,488.2,800,54.2
Koramangala,2025-01-02,Thursday,False,16,313.9,177.9,491.8,800,54.6
Koramangala,2025-01-02,Thursday,False,17,350.0,190.9,540.9,800,60.1
Koramangala,2025-01-02,Thursday,False,18,355.6,1569.0,1924.6,800,100.0
Koramangala,2025-01-02,Thursday,False,19,388.8,2215.6,2604.4,800,100.0
